customer_id,signup_date,city,state
1,2024-03-20,Pune,MH
2,2024-08-19,Mumbai,MH
3,2023-06-10,Delhi,KA
4,2023-08-25,Bangalore,KA
5,2025-01-04,Pune,MH
6,2023-11-12,Pune,MH
7,2024-12-26,Chennai,MH
8,2023-11-23,Chennai,TS
9,2024-04-11,Mumbai,MH
10,2023-12-22,Mumbai,KA
11,2023-05-06,Bangalore,TN
12,2025-06-21,Chennai,MH
13,2025-02-16,Chennai,KA
14,2023-11-25,Pune,MH
15,2024-04-27,Pune,TN
16,2023-08-15,Hyderabad,KA
17,2023-11-19,Hyderabad,TN
18,2023-04-03,Delhi,MH
19,2023-08-21,Bangalore,MH
20,2025-07-20,Hyderabad,DL
21,2023-09-28,Delhi,KA
22,2026-01-11,Bangalore,DL
23,2025-01-09,Mumbai,MH
24,2023-12-23,Hyderabad,MH
25,2025-11-12,Delhi,DL
26,2025-07-01,Chennai,DL
27,2023-09-23,Mumbai,MH
28,2024-06-21,Hyderabad,TN
29,2024-06-11,Mumbai,TS
30,2024-07-09,Mumbai,TN
31,2026-02-03,Delhi,MH
32,2024-05-02,Chennai,DL
33,2025-04-21,Chennai,KA
34,2025-08-18,Pune,MH
35,2025-10-31,Mumbai,MH
36,2024-12-03,Bangalore,DL
37,2024-12-23,Mumbai,KA
38,2025-07-11,Mumbai,TS
39,2023-07-15,Delhi,TS
40,2023-05-19,Pune,DL
41,2024-04-09,Bangalore,DL
42,2024-01-04,Delhi,KA
43,2025-05-07,Pune,DL
44,2024-10-15,Pune,MH
45,2023-12-26,Pune,MH
46,2023-03-23,Chennai,MH
47,2025-02-14,Bangalore,TN
48,2023-12-13,Pune,KA
49,2025-10-29,Bangalore,TS
50,2025-10-21,Hyderabad,DL
51,2024-09-19,Pune,MH
52,2025-08-17,Chennai,KA
53,2024-10-07,Pune,DL
54,2024-10-08,Mumbai,KA
55,2025-11-24,Mumbai,DL
56,2025-04-07,Hyderabad,DL
57,2025-05-03,Mumbai,KA
58,2023-08-29,Chennai,MH
59,2023-04-13,Delhi,KA
60,2024-06-23,Pune,TS
61,2025-06-29,Hyderabad,MH
62,2024-11-09,Hyderabad,KA
63,2024-12-21,Delhi,KA
64,2024-05-27,Bangalore,MH
65,2025-02-16,Chennai,TN
66,2023-02-11,Delhi,MH
67,2023-11-26,Chennai,TS
68,2023-12-20,Chennai,TS
69,2025-11-04,Delhi,KA
70,2024-09-10,Bangalore,TN
71,2023-10-30,Hyderabad,MH
72,2024-02-24,Mumbai,MH
73,2026-01-23,Bangalore,MH
74,2025-09-07,Bangalore,MH
75,2023-04-18,Hyderabad,TN
76,2023-11-18,Mumbai,TS
77,2025-04-19,Hyderabad,TN
78,2024-05-07,Hyderabad,TN
79,2026-02-01,Delhi,TN
80,2025-04-13,Mumbai,MH
81,2023-11-23,Pune,MH
82,2025-08-28,Pune,TN
83,2024-04-05,Delhi,MH
84,2023-11-03,Delhi,MH
85,2023-06-06,Delhi,TS
86,2024-01-02,Bangalore,TS
87,2025-09-10,Mumbai,MH
88,2024-03-14,Pune,DL
89,2023-07-18,Chennai,KA
90,2023-05-22,Chennai,MH
91,2024-07-08,Pune,DL
92,2024-07-28,Pune,TN
93,2023-12-19,Chennai,KA
