order_id,product_id,quantity,price,freight_value
1,204,3,1485,74.25
2,249,2,401,20.05
2,199,2,883,44.15
2,165,3,5224,261.2
3,244,2,1600,80.0
3,193,1,1755,87.75
4,280,1,439,21.95
4,156,3,4793,239.65
4,114,2,2100,105.0
5,125,3,1356,67.8
5,213,3,1867,93.35
5,200,1,853,42.65
6,36,3,37112,1855.6
6,42,1,12232,611.6
6,293,3,2180,109.0
6,127,2,2814,140.7
7,156,1,6224,311.2
7,216,2,1947,97.35
7,231,3,565,28.25
7,88,3,11449,572.45
8,268,1,908,45.4
8,29,3,21440,1072.0
8,53,2,42551,2127.55
9,90,1,7037,351.85
9,176,1,4961,248.05
9,186,1,824,41.2
9,168,2,687,34.35
10,242,2,2529,126.45
10,277,3,537,26.85
10,34,2,29399,1469.95
10,54,3,46506,2325.3
11,58,3,3735,186.75
11,96,2,1695,84.75
11,233,3,308,15.4
11,36,1,24811,1240.55
12,254,2,1202,60.1
12,84,1,5364,268.2
12,233,3,1349,67.45
12,197,2,937,46.85
13,68,1,4146,207.3
13,89,2,5034,251.7
13,66,2,5642,282.1
14,298,3,1612,80.6
14,77,3,9981,499.05
14,172,3,7979,398.95
14,219,1,1956,97.8
15,78,1,4494,224.7
15,101,2,10984,549.2
15,186,3,1600,80.0
15,86,1,3926,196.3
16,273,3,235,11.75
16,51,2,44972,2248.6
16,34,1,7885,394.25
17,35,2,32454,1622.7
17,247,3,2298,114.9
18,167,1,3441,172.05
19,245,3,2757,137.85
19,231,1,803,40.15
19,180,1,7777,388.85
19,61,2,6066,303.3
20,202,2,64,3.2
20,186,3,1471,73.55
20,285,3,2509,125.45
20,50,3,49955,2497.75
21,141,3,1498,74.9
21,275,3,463,23.15
22,181,2,1622,81.1
22,282,2,1844,92.2
22,131,1,3529,176.45
22,171,3,5468,273.4
23,104,2,6594,329.7
23,181,1,1276,63.8
24,259,2,2354,117.7
24,209,2,1356,67.8
25,260,2,2746,137.3
26,189,3,1673,83.65
26,64,1,2034,101.7
26,147,3,4448,222.4
26,233,1,1820,91.0
27,38,3,10531,526.55
28,87,2,9425,471.25
29,143,1,566,28.3
29,42,3,36906,1845.3
29,141,1,5068,253.4
30,94,3,5952,297.6
30,69,1,12367,618.35
30,296,3,373,18.65
30,282,1,2935,146.75
31,196,1,1299,64.95
32,38,3,31934,1596.7
32,112,3,14553,727.65
32,272,2,851,42.55
33,265,1,776,38.8
33,221,3,88,4.4
33,69,2,10995,549.75
34,189,1,308,15.4
34,250,2,2059,102.95
34,129,3,2699,134.95
35,42,1,5164,258.2
35,261,2,1648,82.4
35,258,2,1151,57.55
35,161,3,7092,354.6
36,28,3,7886,394.3
37,81,1,10141,507.05
37,109,3,11715,585.75
37,136,1,3886,194.3
37,168,2,7300,365.0
38,162,3,1708,85.4
38,213,2,1074,53.7
39,172,2,7201,360.05
39,279,3,2091,104.55
39,173,2,7483,374.15
40,264,2,2477,123.85
40,194,1,1578,78.9
40,232,2,1119,55.95
41,42,3,13811,690.55
41,133,1,3715,185.75
42,193,1,949,47.45
42,82,1,7194,359.7
43,193,2,744,37.2
43,163,3,3852,192.6
43,297,3,852,42.6
43,295,3,2735,136.75
44,87,1,8210,410.5
44,113,1,9073,453.65
44,65,2,13925,696.25
44,31,3,8852,442.6
45,141,3,4407,220.35
45,248,3,1848,92.4
45,280,2,377,18.85
45,267,3,890,44.5
46,290,3,2293,114.65
46,287,1,2641,132.05
46,173,3,2980,149.0
46,256,2,2350,117.5
47,284,3,832,41.6
47,292,1,1414,70.7
47,89,2,10423,521.15
47,242,1,1382,69.1
48,10,1,32979,1648.95
48,143,2,4192,209.6
48,165,2,1695,84.75
49,192,1,997,49.85
49,17,3,37019,1850.95
49,31,2,10981,549.05
49,60,2,33827,1691.35
50,80,2,5943,297.15
50,168,1,7722,386.1
50,139,2,2456,122.8
51,254,3,2684,134.2
51,39,1,35132,1756.6
51,24,2,6271,313.55
52,40,3,5713,285.65
52,290,2,2634,131.7
53,57,1,12374,618.7
53,268,3,2418,120.9
54,33,3,8942,447.1
54,153,3,3273,163.65
55,123,2,682,34.1
55,12,3,45558,2277.9
56,290,2,1709,85.45
56,21,1,37644,1882.2
56,180,1,6957,347.85
56,57,3,45820,2291.0
57,108,2,7466,373.3
58,247,1,2673,133.65
59,206,1,632,31.6
59,104,1,6458,322.9
59,5,3,35644,1782.2
59,160,3,3791,189.55
60,234,2,1576,78.8
60,132,2,5760,288.0
60,66,3,6694,334.7
60,35,1,33080,1654.0
61,197,2,1393,69.65
61,97,3,14697,734.85
61,114,2,2551,127.55
61,295,1,2956,147.8
62,49,2,47843,2392.15
62,290,2,2317,115.85
62,257,1,642,32.1
62,256,3,2881,144.05
63,52,2,19928,996.4
63,200,3,582,29.1
64,114,1,13925,696.25
64,227,2,149,7.45
64,295,1,1452,72.6
65,273,1,2789,139.45
65,184,3,69,3.45
65,270,1,1957,97.85
66,229,2,66,3.3
66,263,3,2887,144.35
67,133,2,2253,112.65
67,291,2,1152,57.6
67,218,2,1127,56.35
68,20,3,23130,1156.5
69,104,3,5741,287.05
69,233,2,1095,54.75
69,294,1,2666,133.3
69,4,1,21137,1056.85
70,48,2,38311,1915.55
70,139,3,5253,262.65
70,133,3,2332,116.6
71,237,1,196,9.8
71,239,1,1022,51.1
71,198,3,956,47.8
72,275,1,317,15.85
72,1,1,45159,2257.95
72,285,1,411,20.55
72,170,1,2590,129.5
73,79,1,8796,439.8
74,181,1,1343,67.15
74,292,3,1967,98.35
74,152,2,654,32.7
74,22,1,36561,1828.05
75,95,3,8262,413.1
76,130,2,7654,382.7
76,137,3,2539,126.95
76,245,2,1835,91.75
76,67,2,831,41.55
77,81,2,13564,678.2
77,87,1,3266,163.3
77,138,1,3119,155.95
77,34,1,44423,2221.15
78,263,1,237,11.85
79,219,3,1132,56.6
80,191,1,906,45.3
80,195,2,1461,73.05
81,167,1,809,40.45
81,26,3,9970,498.5
82,272,3,1770,88.5
83,184,1,1858,92.9
83,259,1,2684,134.2
83,28,1,40171,2008.55
83,24,1,22177,1108.85
84,227,2,356,17.8
84,265,2,2812,140.6
85,271,2,1349,67.45
85,67,2,7068,353.4
86,261,3,346,17.3
86,229,2,1330,66.5
86,76,1,13186,659.3
87,71,3,10196,509.8
87,297,1,1402,70.1
87,161,2,5577,278.85
87,244,1,2648,132.4
88,154,1,425,21.25
88,202,1,178,8.9
89,250,1,733,36.65
89,171,2,4169,208.45
89,148,2,7685,384.25
90,51,3,24521,1226.05
90,190,1,492,24.6
91,210,1,910,45.5
91,239,3,1941,97.05
91,6,1,35401,1770.05
92,272,1,363,18.15
92,299,2,1603,80.15
92,185,2,1773,88.65
92,254,2,1453,72.65
93,42,2,43872,2193.6
94,56,1,11970,598.5
94,28,3,20766,1038.3
94,1,3,23338,1166.9
94,134,3,4918,245.9
95,168,3,5864,293.2
95,48,3,35894,1794.7
95,200,2,1332,66.6
96,16,1,44331,2216.55
96,247,3,1946,97.3
96,85,3,12839,641.95
96,279,3,2545,127.25
97,255,3,1925,96.25
97,124,2,1101,55.05
98,248,3,1738,86.9
98,298,3,899,44.95
98,288,2,2807,140.35
99,185,2,1849,92.45
100,62,2,6496,324.8
101,136,1,7821,391.05
102,57,2,23974,1198.7
102,59,1,2909,145.45
102,74,3,5119,255.95
103,14,2,8153,407.65
104,225,1,1362,68.1
104,120,2,8001,400.05
105,268,3,622,31.1
106,66,3,9137,456.85
106,147,3,3747,187.35
107,294,1,1136,56.8
108,125,2,5303,265.15
108,200,2,724,36.2
