order_id,payment_type,payment_value
1,credit_card,1485
2,debit_card,6508
3,wallet,3355
4,wallet,7332
5,credit_card,4076
6,upi,54338
7,credit_card,20185
8,upi,64899
9,upi,13509
10,upi,78971
11,debit_card,30549
12,wallet,8852
13,upi,14822
14,credit_card,21528
15,wallet,21004
16,wallet,53092
17,credit_card,34752
18,credit_card,3441
19,wallet,17403
20,upi,53999
21,credit_card,1961
22,debit_card,12463
23,wallet,7870
24,upi,3710
25,credit_card,2746
26,wallet,9975
27,upi,10531
28,wallet,9425
29,upi,42540
30,wallet,21627
31,upi,1299
32,upi,47338
33,upi,11859
34,debit_card,5066
35,credit_card,15055
36,credit_card,7886
37,upi,33042
38,upi,2782
39,upi,16775
40,upi,5174
41,wallet,17526
42,wallet,8143
43,upi,8183
44,upi,40060
45,credit_card,7522
46,debit_card,10264
47,debit_card,14051
48,wallet,38866
49,credit_card,82824
50,wallet,16121
51,upi,44087
52,debit_card,8347
53,upi,14792
54,upi,12215
55,wallet,46240
56,credit_card,92130
57,wallet,7466
58,credit_card,2673
59,debit_card,46525
60,upi,47110
61,credit_card,21597
62,wallet,53683
63,credit_card,20510
64,credit_card,15526
65,upi,4815
66,wallet,2953
67,credit_card,4532
68,credit_card,23130
69,upi,30639
70,debit_card,45896
71,upi,2174
72,credit_card,48477
73,debit_card,8796
74,wallet,40525
75,debit_card,8262
76,credit_card,12859
77,wallet,64372
78,upi,237
79,credit_card,1132
80,credit_card,2367
81,credit_card,10779
82,credit_card,1770
83,debit_card,66890
84,upi,3168
85,debit_card,8417
86,debit_card,14862
87,debit_card,19823
88,upi,603
89,upi,12587
90,debit_card,25013
91,upi,38252
92,debit_card,5192
93,wallet,43872
94,debit_card,60992
95,debit_card,43090
96,wallet,61661
97,wallet,3026
98,debit_card,5444
99,debit_card,1849
100,credit_card,6496
101,wallet,7821
102,upi,32002
103,credit_card,8153
104,upi,9363
105,debit_card,622
106,credit_card,12884
107,credit_card,1136
108,upi,6027
109,debit_card,570
110,wallet,598
111,credit_card,45296
112,debit_card,10248
113,upi,20605
