order_id,score,review_date
4363,4,2022-06-30
4528,5,2022-03-03
9274,4,2023-08-29
8407,4,2022-04-06
16426,4,2024-04-26
3153,5,2023-02-21
1208,3,2022-11-21
16074,4,2022-02-14
8584,4,2024-06-09
10398,3,2022-11-27
12755,4,2023-04-06
15115,3,2024-06-09
19539,5,2023-11-07
16468,4,2022-09-23
9086,3,2023-09-25
1704,4,2024-01-30
4626,4,2022-07-23
748,1,2023-07-12
19524,4,2022-03-21
19059,2,2024-08-02
11067,3,2024-02-13
4183,5,2022-07-17
14393,5,2022-05-06
11592,4,2024-05-07
3476,3,2024-07-12
11660,5,2023-12-12
5436,3,2022-04-22
2117,5,2023-02-06
3300,1,2022-08-26
19803,1,2022-04-23
18135,4,2023-03-15
19591,1,2024-12-10
4923,4,2022-08-15
1825,5,2022-01-29
2341,4,2022-03-15
16607,4,2023-10-11
10765,5,2024-11-15
18908,4,2022-04-18
2533,4,2024-11-14
2060,1,2023-11-04
15675,4,2022-11-27
14803,3,2022-04-04
1976,4,2024-12-25
5304,3,2024-05-13
9748,3,2022-08-09
14475,4,2023-10-09
5610,3,2022-03-26
5898,4,2023-09-20
4420,2,2022-05-15
10832,5,2022-01-11
10345,4,2024-04-30
3090,2,2022-12-06
12338,4,2023-04-08
563,4,2023-05-31
17073,3,2024-02-09
8540,4,2023-08-14
3335,4,2024-09-07
19086,3,2022-11-08
10567,4,2022-02-01
4226,3,2023-12-31
1674,5,2022-10-26
4507,4,2024-03-06
2093,3,2024-05-05
19657,5,2022-12-22
16946,5,2022-05-13
13425,4,2023-02-19
815,4,2022-01-30
6769,2,2023-04-12
9156,4,2024-02-21
13205,5,2024-02-03
3658,4,2023-10-19
16386,4,2022-08-27
14784,4,2024-04-09
7412,3,2022-10-29
9475,4,2022-05-29
16166,4,2024-01-22
19453,5,2022-06-02
15358,3,2023-12-01
6580,2,2023-12-03
201,2,2023-05-25
5248,5,2024-01-30
3369,4,2024-10-24
9681,5,2023-04-09
660,2,2024-05-24
5135,4,2022-01-26
13300,5,2022-08-19
7628,5,2022-09-06
14100,4,2024-07-08
1438,4,2022-06-06
13924,5,2024-10-21
9536,5,2024-07-06
2313,1,2023-12-01
6463,5,2023-05-27
3069,4,2022-10-17
18954,4,2023-11-01
3297,5,2024-02-22
18278,4,2024-03-09
3089,3,2024-04-26
1211,4,2024-01-25
6069,5,2022-09-26
8928,4,2023-09-24
16411,4,2022-01-10
2657,1,2023-09-15
9614,5,2022-08-05
3563,4,2022-01-07
7335,2,2022-11-24
7420,4,2024-04-16
5131,5,2023-12-19
18647,4,2022-10-31
15136,4,2024-12-10
17266,5,2023-04-09
4011,4,2023-05-18
807,5,2023-05-02
13929,5,2024-03-24
19445,3,2024-11-06
12719,4,2024-05-07
18825,5,2024-01-08
12108,5,2022-08-03
12710,2,2022-09-25
3427,5,2023-09-14
4184,5,2024-03-17
4526,3,2023-11-29
6050,4,2023-01-03
10159,3,2023-11-02
6983,4,2023-06-11
15692,5,2022-03-30
14377,4,2022-06-07
19498,4,2024-04-24
4191,4,2022-04-23
17681,4,2022-10-22
6575,5,2024-09-12
18629,5,2023-09-25
927,4,2022-05-08
18474,5,2022-01-31
3212,4,2024-03-03
18386,4,2023-01-05
8551,4,2024-07-05
976,5,2023-09-08
19886,5,2022-04-04
3148,4,2024-06-10
19024,4,2022-04-19
19019,5,2022-03-31
3429,5,2024-01-15
17581,4,2022-01-30
16870,4,2024-04-11
1784,4,2023-02-24
17497,4,2023-04-17
8774,5,2022-05-30
4162,4,2024-01-07
5213,4,2022-02-07
1250,5,2023-07-07
11050,1,2024-12-03
2094,5,2022-01-04
9929,4,2022-05-22
193,3,2024-04-11
11741,5,2023-11-10
1318,3,2024-04-06
18903,5,2023-06-26
7245,4,2022-02-25
16749,5,2023-03-06
10716,4,2024-09-22
18506,5,2024-10-22
8826,3,2023-05-28
1812,5,2024-05-12
10395,4,2023-02-14
17559,5,2022-02-24
19314,4,2024-02-13
8558,3,2022-09-08
19078,4,2023-11-22
12263,4,2023-08-10
17208,5,2022-09-02
9410,4,2024-04-01
10412,3,2024-07-26
3157,5,2024-10-01
9007,4,2023-08-19
2516,4,2023-02-16
7983,4,2024-05-30
7380,5,2024-09-17
14761,4,2022-08-23
1070,5,2024-03-16
11198,5,2022-12-23
